Target;Target_Namespace;Target_Type;Target_Method;Job_Id;Job_AnalyzeLaunchVariance;Job_EvaluateOverhead;Job_MaxAbsoluteError;Job_MaxRelativeError;Job_MinInvokeCount;Job_MinIterationTime;Job_OutlierMode;Job_Affinity;Job_EnvironmentVariables;Job_Jit;Job_Platform;Job_PowerPlanMode;Job_Runtime;Job_AllowVeryLargeObjects;Job_Concurrent;Job_CpuGroups;Job_Force;Job_HeapAffinitizeMask;Job_HeapCount;Job_NoAffinitize;Job_RetainVm;Job_Server;Job_Arguments;Job_BuildConfiguration;Job_Clock;Job_EngineFactory;Job_NuGetReferences;Job_Toolchain;Job_IsMutator;Job_InvocationCount;Job_IterationCount;Job_IterationTime;Job_LaunchCount;Job_MaxIterationCount;Job_MaxWarmupIterationCount;Job_MemoryRandomization;Job_MinIterationCount;Job_MinWarmupIterationCount;Job_RunStrategy;Job_UnrollFactor;Job_WarmupCount;Job_Display;Params;Measurement_LaunchIndex;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Nanoseconds;Measurement_Operations;Measurement_Value;Gen_0;Gen_1;Gen_2;Allocated_Bytes
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Overhead;Warmup;4;500;128;3.91;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Overhead;Warmup;5;700;128;5.47;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Overhead;Warmup;6;500;128;3.91;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Overhead;Warmup;7;600;128;4.69;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Overhead;Warmup;8;500;128;3.91;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Overhead;Actual;1;700;128;5.47;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Overhead;Actual;2;700;128;5.47;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Overhead;Actual;3;800;128;6.25;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Overhead;Actual;4;900;128;7.03;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Overhead;Actual;5;700;128;5.47;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Overhead;Actual;6;600;128;4.69;5;0;0;16712
